PATTERN TIMESTAMPS: WARN
[sat-001] 2026-03-01 14:22:30
[sat-002] 2026-03-01 14:22:10
[sat-003] 2026-03-01 14:21:44
[sat-002] 2026-03-01 14:21:36
[sat-001] 2026-03-01 14:20:15
[sat-002] 2026-03-01 14:20:01
[sat-003] 2026-03-01 14:19:52
[sat-002] 2026-03-01 14:19:32
[sat-003] 2026-03-01 14:19:20
[sat-001] 2026-03-01 14:19:16
[sat-002] 2026-03-01 14:18:36
[sat-003] 2026-03-01 14:18:23
[sat-001] 2026-03-01 14:17:46
[sat-003] 2026-03-01 14:17:22
[sat-002] 2026-03-01 14:17:00
[sat-002] 2026-03-01 14:16:20
[sat-001] 2026-03-01 14:16:17
[sat-001] 2026-03-01 14:15:43
[sat-003] 2026-03-01 14:15:43
[sat-002] 2026-03-01 14:15:40
[sat-001] 2026-03-01 14:14:13
[sat-003] 2026-03-01 14:14:06
[sat-002] 2026-03-01 14:14:00
[sat-001] 2026-03-01 14:12:32
[sat-002] 2026-03-01 14:12:22
[sat-001] 2026-03-01 14:12:07
[sat-003] 2026-03-01 14:11:50
[sat-001] 2026-03-01 14:11:36
[sat-002] 2026-03-01 14:11:08
[sat-003] 2026-03-01 14:10:36
[sat-001] 2026-03-01 14:10:12
[sat-003] 2026-03-01 14:10:09
[sat-001] 2026-03-01 14:09:26
[sat-002] 2026-03-01 14:08:52
[sat-003] 2026-03-01 14:08:43
[sat-002] 2026-03-01 14:08:04
[sat-001] 2026-03-01 14:07:56
[sat-003] 2026-03-01 14:07:05
[sat-001] 2026-03-01 14:07:03
[sat-002] 2026-03-01 14:06:07
[sat-001] 2026-03-01 14:06:05
[sat-002] 2026-03-01 14:05:37
[sat-003] 2026-03-01 14:05:30
[sat-002] 2026-03-01 14:04:58
[sat-001] 2026-03-01 14:04:38
[sat-002] 2026-03-01 14:04:29
[sat-003] 2026-03-01 14:04:10
[sat-002] 2026-03-01 14:03:55
[sat-002] 2026-03-01 14:03:29
[sat-001] 2026-03-01 14:02:48
[sat-003] 2026-03-01 14:02:16
[sat-002] 2026-03-01 14:02:09
[sat-003] 2026-03-01 14:01:54
[sat-001] 2026-03-01 14:01:41
[sat-002] 2026-03-01 14:01:36
[sat-001] 2026-03-01 14:01:05
[sat-003] 2026-03-01 14:00:49
[sat-001] 2026-03-01 14:00:36
[sat-001] 2026-03-01 14:00:15
[sat-002] 2026-03-01 13:59:47
[sat-002] 2026-03-01 13:59:22
[sat-003] 2026-03-01 13:59:05
[sat-002] 2026-03-01 13:59:01
[sat-001] 2026-03-01 13:58:57
[sat-001] 2026-03-01 13:58:07
[sat-002] 2026-03-01 13:58:04
[sat-003] 2026-03-01 13:57:36
[sat-003] 2026-03-01 13:57:16
[sat-001] 2026-03-01 13:57:07
[sat-002] 2026-03-01 13:56:28
[sat-003] 2026-03-01 13:56:14
[sat-001] 2026-03-01 13:55:54
[sat-002] 2026-03-01 13:55:33
[sat-003] 2026-03-01 13:55:28
[sat-002] 2026-03-01 13:54:50
[sat-003] 2026-03-01 13:54:42
[sat-001] 2026-03-01 13:54:20
[sat-003] 2026-03-01 13:53:51
[sat-001] 2026-03-01 13:53:09
[sat-002] 2026-03-01 13:52:55
[sat-002] 2026-03-01 13:52:20
[sat-003] 2026-03-01 13:52:15
[sat-003] 2026-03-01 13:51:44
[sat-001] 2026-03-01 13:51:33
[sat-002] 2026-03-01 13:51:02
[sat-003] 2026-03-01 13:50:34
[sat-001] 2026-03-01 13:50:08
[sat-002] 2026-03-01 13:49:07
[sat-003] 2026-03-01 13:48:19
[sat-001] 2026-03-01 13:47:51
[sat-002] 2026-03-01 13:47:47
[sat-003] 2026-03-01 13:47:47
[sat-001] 2026-03-01 13:47:24
[sat-003] 2026-03-01 13:47:00
[sat-002] 2026-03-01 13:46:56
[sat-002] 2026-03-01 13:46:25
[sat-001] 2026-03-01 13:45:30
[sat-002] 2026-03-01 13:44:43
[sat-003] 2026-03-01 13:44:40
[sat-001] 2026-03-01 13:44:33
[sat-003] 2026-03-01 13:44:08
[sat-002] 2026-03-01 13:43:21
[sat-001] 2026-03-01 13:42:49
[sat-002] 2026-03-01 13:42:37
[sat-003] 2026-03-01 13:42:13
[sat-001] 2026-03-01 13:41:35
[sat-002] 2026-03-01 13:40:25
[sat-003] 2026-03-01 13:40:24
[sat-002] 2026-03-01 13:39:22
[sat-001] 2026-03-01 13:39:17
[sat-003] 2026-03-01 13:39:15
[sat-003] 2026-03-01 13:38:43
[sat-003] 2026-03-01 13:38:19
[sat-001] 2026-03-01 13:38:09
[sat-002] 2026-03-01 13:38:00
[sat-002] 2026-03-01 13:37:37
[sat-003] 2026-03-01 13:36:36
[sat-002] 2026-03-01 13:36:05
[sat-001] 2026-03-01 13:35:59
[sat-001] 2026-03-01 13:35:18
[sat-002] 2026-03-01 13:35:10
[sat-003] 2026-03-01 13:34:55
[sat-001] 2026-03-01 13:34:47
[sat-001] 2026-03-01 13:34:21
[sat-002] 2026-03-01 13:34:16
[sat-002] 2026-03-01 13:32:57
[sat-003] 2026-03-01 13:32:38
[sat-001] 2026-03-01 13:32:18
[sat-002] 2026-03-01 13:32:03
[sat-001] 2026-03-01 13:31:27
[sat-003] 2026-03-01 13:31:18
[sat-001] 2026-03-01 13:30:50
[sat-002] 2026-03-01 13:30:48
[sat-001] 2026-03-01 13:29:59
[sat-001] 2026-03-01 13:29:32
[sat-001] 2026-03-01 13:29:06
[sat-003] 2026-03-01 13:28:58
[sat-002] 2026-03-01 13:28:34
[sat-001] 2026-03-01 13:28:01
[sat-002] 2026-03-01 13:28:01
[sat-001] 2026-03-01 13:27:17
[sat-003] 2026-03-01 13:27:12
[sat-002] 2026-03-01 13:26:58
[sat-003] 2026-03-01 13:26:37
[sat-001] 2026-03-01 13:26:26
[sat-002] 2026-03-01 13:25:14
[sat-001] 2026-03-01 13:25:04
[sat-003] 2026-03-01 13:24:36
[sat-001] 2026-03-01 13:24:35
[sat-001] 2026-03-01 13:23:46
[sat-002] 2026-03-01 13:23:14
[sat-003] 2026-03-01 13:22:28
[sat-001] 2026-03-01 13:22:11
[sat-002] 2026-03-01 13:21:38
[sat-001] 2026-03-01 13:21:08
[sat-003] 2026-03-01 13:20:18
[sat-001] 2026-03-01 13:19:51
[sat-002] 2026-03-01 13:19:49
[sat-003] 2026-03-01 13:18:59
[sat-001] 2026-03-01 13:18:06
[sat-002] 2026-03-01 13:18:01
[sat-003] 2026-03-01 13:17:04
[sat-001] 2026-03-01 13:16:18
[sat-002] 2026-03-01 13:15:41
[sat-001] 2026-03-01 13:15:31
[sat-003] 2026-03-01 13:14:48
[sat-001] 2026-03-01 13:14:38
[sat-002] 2026-03-01 13:13:55
[sat-002] 2026-03-01 13:13:22
[sat-001] 2026-03-01 13:12:54
[sat-002] 2026-03-01 13:12:48
[sat-003] 2026-03-01 13:12:32
[sat-002] 2026-03-01 13:12:07
[sat-002] 2026-03-01 13:11:20
[sat-001] 2026-03-01 13:10:57
[sat-002] 2026-03-01 13:10:44
[sat-001] 2026-03-01 13:10:27
[sat-003] 2026-03-01 13:10:20
[sat-003] 2026-03-01 13:09:38
[sat-001] 2026-03-01 13:09:37
[sat-001] 2026-03-01 13:09:15
[sat-002] 2026-03-01 13:08:37
[sat-003] 2026-03-01 13:07:22
[sat-001] 2026-03-01 13:06:58
[sat-002] 2026-03-01 13:06:41
[sat-003] 2026-03-01 13:05:48
[sat-003] 2026-03-01 13:05:23
[sat-001] 2026-03-01 13:05:01
[sat-002] 2026-03-01 13:04:58
[sat-003] 2026-03-01 13:03:43
[sat-001] 2026-03-01 13:03:37
[sat-002] 2026-03-01 13:03:29
[sat-003] 2026-03-01 13:01:45
[sat-001] 2026-03-01 13:01:26
[sat-002] 2026-03-01 13:01:23
[sat-003] 2026-03-01 13:00:06
[sat-001] 2026-03-01 13:00:02
[sat-001] 2026-03-01 12:59:42
[sat-002] 2026-03-01 12:59:27
[sat-001] 2026-03-01 12:59:08
[sat-003] 2026-03-01 12:58:29
[sat-002] 2026-03-01 12:58:24
[sat-002] 2026-03-01 12:57:16
[sat-001] 2026-03-01 12:57:12
[sat-003] 2026-03-01 12:56:34
[sat-001] 2026-03-01 12:55:25
[sat-002] 2026-03-01 12:55:06
[sat-002] 2026-03-01 12:54:43
[sat-003] 2026-03-01 12:54:35
[sat-001] 2026-03-01 12:54:33
[sat-003] 2026-03-01 12:53:25
[sat-001] 2026-03-01 12:53:24
[sat-002] 2026-03-01 12:52:27
[sat-002] 2026-03-01 12:51:46
[sat-003] 2026-03-01 12:51:36
[sat-001] 2026-03-01 12:51:23
[sat-003] 2026-03-01 12:50:28
[sat-002] 2026-03-01 12:50:01
[sat-003] 2026-03-01 12:49:19
[sat-001] 2026-03-01 12:49:13
[sat-002] 2026-03-01 12:48:46
[sat-001] 2026-03-01 12:48:36
[sat-003] 2026-03-01 12:48:27
[sat-003] 2026-03-01 12:47:29
[sat-003] 2026-03-01 12:47:00
[sat-002] 2026-03-01 12:46:32
[sat-001] 2026-03-01 12:46:22
[sat-002] 2026-03-01 12:45:04
[sat-001] 2026-03-01 12:44:54
[sat-003] 2026-03-01 12:44:45
[sat-001] 2026-03-01 12:44:01
[sat-003] 2026-03-01 12:43:27
[sat-002] 2026-03-01 12:43:08
[sat-003] 2026-03-01 12:42:49
[sat-002] 2026-03-01 12:42:00
[sat-001] 2026-03-01 12:41:48
[sat-003] 2026-03-01 12:41:10
[sat-001] 2026-03-01 12:40:48
[sat-003] 2026-03-01 12:40:29
[sat-002] 2026-03-01 12:40:11
[sat-001] 2026-03-01 12:39:54
[sat-002] 2026-03-01 12:39:25
[sat-003] 2026-03-01 12:39:02
[sat-002] 2026-03-01 12:38:23
[sat-003] 2026-03-01 12:37:57
[sat-001] 2026-03-01 12:37:49
[sat-003] 2026-03-01 12:37:32
[sat-002] 2026-03-01 12:36:33
[sat-003] 2026-03-01 12:36:16
[sat-002] 2026-03-01 12:35:54
[sat-001] 2026-03-01 12:35:42
[sat-002] 2026-03-01 12:34:54
[sat-003] 2026-03-01 12:34:19
[sat-001] 2026-03-01 12:33:54
[sat-003] 2026-03-01 12:33:30
[sat-001] 2026-03-01 12:33:14
[sat-003] 2026-03-01 12:33:06
[sat-002] 2026-03-01 12:33:03
[sat-001] 2026-03-01 12:31:33
[sat-002] 2026-03-01 12:31:23
[sat-003] 2026-03-01 12:31:15
[sat-002] 2026-03-01 12:30:28
[sat-001] 2026-03-01 12:29:14
[sat-002] 2026-03-01 12:29:11
[sat-003] 2026-03-01 12:29:06
[sat-003] 2026-03-01 12:28:36
[sat-001] 2026-03-01 12:28:09
[sat-002] 2026-03-01 12:27:54
[sat-003] 2026-03-01 12:27:33
[sat-003] 2026-03-01 12:26:54
[sat-001] 2026-03-01 12:26:28
[sat-002] 2026-03-01 12:25:40
[sat-003] 2026-03-01 12:25:02
[sat-003] 2026-03-01 12:24:30
[sat-001] 2026-03-01 12:24:18
[sat-002] 2026-03-01 12:23:44
[sat-001] 2026-03-01 12:22:20
[sat-003] 2026-03-01 12:22:19
[sat-002] 2026-03-01 12:22:17
[sat-003] 2026-03-01 12:21:55
[sat-002] 2026-03-01 12:20:59
[sat-002] 2026-03-01 12:20:33
[sat-001] 2026-03-01 12:20:30
[sat-003] 2026-03-01 12:19:54
[sat-002] 2026-03-01 12:18:34
[sat-001] 2026-03-01 12:18:17
[sat-003] 2026-03-01 12:17:38
[sat-003] 2026-03-01 12:17:13
[sat-001] 2026-03-01 12:16:47
[sat-002] 2026-03-01 12:16:20
[sat-003] 2026-03-01 12:15:40
[sat-001] 2026-03-01 12:15:19
[sat-002] 2026-03-01 12:14:57
[sat-001] 2026-03-01 12:13:42
[sat-003] 2026-03-01 12:13:21
[sat-001] 2026-03-01 12:13:11
[sat-002] 2026-03-01 12:12:44
[sat-001] 2026-03-01 12:12:24
[sat-003] 2026-03-01 12:11:51
[sat-002] 2026-03-01 12:10:36
[sat-001] 2026-03-01 12:10:35
[sat-003] 2026-03-01 12:10:34
[sat-002] 2026-03-01 12:10:11
[sat-001] 2026-03-01 12:09:40
[sat-002] 2026-03-01 12:09:23
[sat-003] 2026-03-01 12:09:00
[sat-001] 2026-03-01 12:08:11
[sat-003] 2026-03-01 12:08:04
[sat-002] 2026-03-01 12:07:19
[sat-001] 2026-03-01 12:06:40
[sat-001] 2026-03-01 12:05:53
[sat-003] 2026-03-01 12:05:45
[sat-002] 2026-03-01 12:05:35
[sat-002] 2026-03-01 12:04:54
[sat-001] 2026-03-01 12:04:18
[sat-003] 2026-03-01 12:03:47
[sat-002] 2026-03-01 12:02:53
[sat-001] 2026-03-01 12:02:32
[sat-001] 2026-03-01 12:01:41
[sat-002] 2026-03-01 12:01:37
[sat-003] 2026-03-01 12:01:35
[sat-003] 2026-03-01 12:00:51
